Tags,source,triaanvc,fake,triaanvc.1,source.1,quickvc,triaanvc.2,vcsd,source.2,diffvc,triaanvc.3,vcsd.1,diffvc.1,quickvc.1,source.3,triaanvc.4,source.4,quickvc.2,diffvc.2,vcsd.2,vcsd.3,diffvc.3,triaanvc.5,diffvc.4,source.5,quickvc.3,quickvc.4,vcsd.4,fake.1,quickvc.5,diffvc.5,vcsd.5
2026-01-15 17:59:16,5,3,2,2,5,4,3,4,5,2,3,3,3,4,3,3,5,4,3,3,4,2,2,3,1,4,4,4,3,5,2,4
2026-01-12 10:00:07,3,1,1,2,5,4,2,3,4,2,3,2,3,3,4,2,5,3,1,3,2,3,1,2,5,4,4,2,1,5,2,4
2026-01-09 09:29:15,3,1,1,1,5,2,1,2,3,1,2,2,2,2,3,3,4,4,2,3,4,1,1,2,4,4,3,3,1,5,3,5
2026-01-08 19:42:25,4,2,1,2,5,2,3,2,4,4,3,4,4,3,4,4,4,3,4,3,2,3,1,2,5,5,3,4,1,5,3,4
2026-01-08 19:18:15,3,2,2,3,5,4,3,4,5,3,4,4,2,4,3,4,5,4,2,4,4,2,2,2,5,4,3,2,2,3,2,3
2026-01-08 18:52:24,4,3,2,1,5,4,3,4,5,3,3,4,5,3,4,4,5,5,3,4,3,4,1,3,5,5,4,4,1,5,2,4
2026-01-08 18:50:18,2,2,1,3,4,3,2,2,4,3,2,3,3,3,3,2,5,3,2,2,5,3,1,1,5,4,3,2,1,2,2,3
2026-01-07 11:33:38,4,2,1,2,5,4,2,4,3,1,4,2,4,4,5,3,4,5,4,3,3,4,2,4,5,5,2,4,1,5,2,3
2026-01-05 18:50:56,4,1,2,2,5,4,3,5,5,3,3,4,3,2,5,5,5,4,3,5,4,3,2,2,5,4,3,4,1,4,3,3
2026-01-05 18:42:09,3,1,1,1,5,3,1,2,4,1,3,2,3,3,4,3,5,3,2,2,3,1,1,2,5,3,1,2,1,4,2,4
2026-01-05 18:33:25,2,2,1,2,5,5,5,3,5,1,2,2,1,2,5,4,5,3,2,5,5,1,1,1,5,5,4,4,2,3,1,2
2026-01-05 18:30:25,4,4,2,2,4,4,3,3,4,2,3,4,3,4,4,3,5,4,4,3,3,3,3,2,5,5,4,3,2,4,3,3
2026-01-05 18:23:33,4,1,1,2,5,4,1,1,5,1,1,2,2,2,4,5,5,4,2,5,5,1,1,2,5,5,5,4,1,5,1,5
2026-01-05 18:21:37,4,3,1,5,5,4,3,4,4,2,4,2,3,2,5,4,5,3,4,5,3,4,2,3,5,3,1,4,1,4,2,4
2026-01-05 18:09:59,5,4,2,4,5,5,4,5,5,2,3,3,3,4,5,3,4,3,2,3,5,3,2,2,5,4,3,4,2,5,3,5
2026-01-05 18:07:48,3,3,1,2,5,4,3,3,5,1,4,5,4,5,5,4,5,4,3,4,4,2,4,2,5,4,5,5,2,4,3,4
2026-01-05 18:05:52,4,3,2,2,5,3,2,3,4,2,4,4,3,3,5,2,4,4,3,5,4,1,2,2,4,3,4,3,2,3,1,4
2026-01-05 18:03:28,5,2,4,1,4,2,3,4,3,1,4,4,4,4,5,3,5,4,2,5,2,2,2,1,5,5,4,5,4,5,2,3
2026-01-05 18:02:49,2,3,1,3,5,3,3,2,4,3,2,3,2,3,4,4,3,4,5,3,2,3,3,2,4,2,3,4,1,4,3,5
2026-01-05 18:00:53,5,4,3,3,5,4,5,5,5,2,5,5,4,5,5,3,5,4,2,4,4,4,3,3,5,4,4,4,1,5,3,3
2026-01-05 18:00:40,5,4,2,2,5,4,3,4,4,2,3,4,4,4,5,3,5,5,2,4,4,2,3,2,5,4,3,2,1,5,3,4
2026-01-05 17:58:37,2,2,1,2,5,3,2,2,5,2,3,4,4,4,5,4,5,5,2,2,4,2,3,2,5,3,4,4,1,5,2,4
2026-01-05 17:57:28,4,2,1,4,3,4,2,4,3,3,5,3,3,4,3,2,4,5,4,4,2,4,2,3,4,5,4,4,1,4,3,4
2026-01-05 17:54:48,3,3,2,2,4,4,3,3,5,2,4,4,3,4,5,3,5,5,1,4,4,2,3,1,5,4,3,3,1,4,2,4
2026-01-05 17:51:01,3,2,1,1,4,5,2,4,4,2,4,3,3,4,5,5,3,5,2,4,5,2,3,3,4,4,4,5,2,5,2,4
2026-01-05 17:47:43,2,3,1,2,4,4,2,3,4,1,3,5,3,3,5,5,3,4,2,2,2,1,1,2,3,3,3,4,1,5,3,4
2026-01-05 16:28:15,3,3,4,4,3,4,4,2,3,1,2,4,2,4,3,3,4,2,1,4,4,3,2,2,4,4,2,1,3,4,1,2
2026-01-05 16:20:39,4,4,1,2,5,3,4,3,2,2,4,2,2,3,4,4,5,4,4,3,5,1,1,2,4,4,2,3,4,4,1,3
2026-01-05 16:11:07,4,4,2,3,5,3,3,4,3,2,4,5,5,4,4,4,4,3,4,1,3,3,2,1,5,4,4,5,1,3,2,4
2026-01-05 16:06:27,3,2,1,1,5,3,4,4,5,2,3,4,2,4,3,4,5,2,2,3,1,3,1,1,5,3,4,2,1,2,2,5
