Tags,source,dddmvc,vcsd,streamvc,diffvc,source.1,facodec,vcsd.1,diffvc.1,rt-vc,fake,diffvc.2,vcsd.2,facodec.1,dddmvc.1,facodec.2,dddmvc.2,streamvc.1,rt-vc.1,source.2,rt-vc.2,source.3,streamvc.2,diffvc.3,rt-vc.3,streamvc.3,diffvc.4,rt-vc.4,streamvc.4,source.4,dddmvc.3,facodec.3,fake.1,dddmvc.4,streamvc.5,rt-vc.5,vcsd.3,vcsd.4,facodec.4,diffvc.5,dddmvc.5,vcsd.5,source.5,facodec.5
2026-01-19 11:08:55,4,3,2,4,3,3,1,3,2,3,1,2,3,1,3,2,2,1,1,4,4,4,5,2,1,3,3,2,1,5,3,3,1,5,5,4,3,3,3,2,5,4,5,5
2026-01-19 10:57:19,5,1,1,3,2,5,1,2,3,4,1,3,4,1,5,5,2,3,2,5,3,5,5,2,2,5,4,4,3,5,2,4,1,4,4,5,2,3,2,4,4,5,5,2
2026-01-19 10:44:08,3,3,4,4,2,4,2,3,4,5,1,5,3,2,4,2,2,4,4,4,5,5,5,3,5,4,4,4,4,4,3,2,1,3,4,5,3,4,2,3,3,2,4,3
2026-01-19 10:39:55,4,2,1,3,1,4,1,2,2,1,1,1,2,3,4,3,2,4,2,5,2,4,2,3,2,4,4,1,3,4,1,1,1,3,4,5,3,5,3,5,5,5,4,5
2026-01-19 10:39:49,5,4,1,5,2,5,1,3,2,2,4,4,4,1,5,4,3,2,2,4,5,3,2,2,2,3,3,5,2,5,4,2,3,4,4,4,3,2,2,1,2,5,5,3
2026-01-19 10:38:26,4,4,3,4,3,3,2,4,4,3,1,3,3,1,4,2,3,4,4,4,5,4,4,2,3,3,2,3,3,3,3,3,1,4,4,4,3,3,2,3,3,3,3,4
2026-01-19 10:34:45,5,3,4,4,1,4,2,3,1,3,1,4,5,2,4,2,3,3,3,5,4,5,4,2,5,4,4,3,4,5,2,1,2,4,5,3,3,4,1,4,2,5,5,1
2026-01-19 10:34:21,4,3,1,4,2,5,1,3,2,2,1,2,3,2,3,3,2,3,2,4,4,5,3,2,1,4,3,2,2,5,1,2,1,4,3,4,3,2,2,2,1,4,5,3
2026-01-19 10:33:28,4,4,5,5,4,4,3,3,5,3,2,3,3,4,4,5,3,4,2,4,4,5,4,3,4,3,3,3,4,4,3,3,4,3,4,4,2,5,4,5,5,5,5,4
2026-01-19 10:31:24,4,4,3,3,4,4,3,4,4,4,1,4,4,2,3,3,2,3,4,3,4,4,4,4,3,4,4,4,3,3,4,3,1,3,4,3,4,3,3,4,4,3,3,4
2026-01-19 10:31:23,4,4,3,4,3,4,2,3,2,2,1,3,2,2,2,2,2,4,2,3,3,2,2,3,2,2,2,4,2,4,3,2,1,2,3,4,3,2,2,4,3,4,4,3
2026-01-19 10:28:01,5,5,4,4,2,4,1,2,3,2,1,2,1,2,4,2,2,4,3,5,4,4,4,2,3,5,2,3,2,5,3,1,1,4,3,5,2,3,1,2,1,3,4,2
2026-01-19 10:27:36,3,4,3,4,3,4,3,4,4,4,2,5,5,3,4,4,3,3,4,4,5,5,4,4,3,4,3,5,3,4,3,3,3,3,5,4,4,3,3,3,3,4,5,4
2026-01-19 10:26:03,4,3,2,4,2,5,2,4,2,3,1,3,4,2,3,3,2,3,2,4,5,3,2,2,2,3,2,2,3,4,3,2,1,2,3,4,2,3,3,3,4,3,4,2
2026-01-19 10:26:03,4,5,4,5,3,5,2,5,2,4,1,5,3,2,3,3,2,5,4,4,3,5,4,3,4,5,3,3,4,5,2,3,1,3,4,5,4,3,2,4,3,4,5,4
2026-01-16 16:25:51,4,3,2,4,4,5,1,3,2,4,1,4,3,1,4,3,3,2,4,5,5,4,4,2,4,4,3,3,4,4,2,3,1,3,4,5,5,4,3,4,4,5,5,3
2026-01-16 15:10:33,4,3,3,5,2,5,1,5,4,5,1,5,5,3,5,3,5,5,5,5,5,5,5,3,5,5,4,3,5,5,3,3,1,1,5,5,3,4,3,3,5,4,4,4
2026-01-16 15:00:04,3,4,2,5,3,4,2,5,2,3,1,5,4,2,4,3,2,4,3,4,4,5,4,2,3,5,2,4,2,5,2,3,1,3,4,5,3,2,2,2,2,3,4,4
2026-01-16 14:46:54,5,4,3,4,2,4,1,4,2,3,1,4,4,2,5,4,5,5,3,4,5,4,5,4,4,4,4,3,4,5,4,3,1,2,5,5,3,3,2,5,4,5,5,3
